title,description,job_url
Gehobene:r Privatkundenbetreuer:in,"Sie beraten Ihre Kunden in allen Finanzangelegenheiten, der Schwerpunkt Ihrer Beratung liegt dabei im Veranlagungsgeschäft. Sie übernehmen die Betreuung bestehender Veranlagungskunden und Vertiefen unsere Kundenbeziehungen insbesondere in Kooperation mit unseren Firmenkundenbetreuern",https://www.metajob.at/dres/jc?p=00dm4ty62g7bos
Privatkundenbetreuer:in - RB Wagram Schmidatal,"Aktive, umfassende und intensive Betreuung unserer Privatkunden in allen finanziellen Angelegenheiten - Erkennen und Nutzen von Cross-Selling-Potenzialen - Aufbau neuer Kundenbeziehungen und Pflege des persönlichen Netzwerkes im Einzugsgebiet der Raiffeisenbank",https://www.metajob.at/dres/jc?p=009190ch91cnzo
Privatkundenbetreuer,In Ihrer Position als Privatkundenbetreuer/in sind Sie verantwortlich für Ihren eigenen Kundenstock und betreuen diesen in allen finanziellen Angelegenheiten. Sie erkennen Kundenbedürfnisse und erarbeiten daraus bedarfsgerechte Lösungen,https://www.metajob.at/dres/jc?p=000ae32sl8skw7
Regionalmanager (m/w/d) für die Volksbank Wien,"Als ERGO Regionalmanager für die Volksbanken in Wien leiten Sie ein Team von ERGO Vorsorge … und fördern dieses in der Versicherungsberatung der Volksbank-Kunden. Sie sind für die Erreichung der gemeinsam mit der Volksbank vereinbarten Ertrags- und Umsatzziele, für die Aus- und Weiterbildung Ihrer … ",https://www.metajob.at/dres/jc?p=000a57f5dnhoqx
Betreuung Private Banking (all genders),Professionelle und umfassende Beratung und Betreuung von gehobenen Privatkunden mit Fokus auf das gehobene Veranlagungsgeschäft … Erste Berufserfahrung im Private Banking und Interesse an der Weiterentwicklung im Privatkundenbereich,https://www.metajob.at/dres/jc?p=00ca79egvt0wvv
Privatkundenbetreuer (m/w/d),"Als Kundenbetreuer:in übernehmen Sie die umfassende, persönliche Betreuung und Servicierung der Privatkund:innen und sorgen für eine langfristige Kundenbindung. Mit Ihren Leistungen tragen Sie unmittelbar zur Umsetzung der Vertriebsstrategie und zum nachhaltigen Geschäftserfolg der Bank bei",https://www.metajob.at/dres/jc?p=000a5vwb98uvzq
Privatkundenbetreuer:in mit Erfahrung (w/m/d) - RB Tulln,"St. Andrä-Wördern, Anstellungsart: Vollzeit - IHRE AUFGABEN: MEHR BEWEGEN - Wie Ihr Arbeitsalltag aussieht? Abwechslung statt Einheitsbrei. Sie übernehmen einen Kundenstock und bauen somit eine langfristige und vertrauensvolle Kundenbeziehung auf … Sie bauen neue Kundenkontakte auf und repräsentieren unsere Bank",https://www.metajob.at/dres/jc?p=002n3bry54kl6b
Privatkundenbetreuer:in,"Sie beraten Ihre Kunden in allen Finanzangelegenheiten, speziell in Sachen Finanzierung, Veranlagung, Zahlungsverkehr und Vorsorge. Durch Ihr Kommunikationstalent gelingt es Ihnen, nachhaltige und erfolgreiche Kundenbeziehungen aufzubauen und zu pflegen … Einschlägige Bankausbildung",https://www.metajob.at/dres/jc?p=00ci85mhxthsmj
Lehrling zum/zur Bankkaufmann/-frau,"Mit einer Lehre als Bankkauffrau/-mann wirst du zum Bankprofi. Wir fördern dich in jeder Hinsicht und geben dir die Chance, dich beruflich und persönlich zu entwickeln. Von Anfang an wirst du in die Abläufe einer Bankfiliale integriert und bist Teil des Teams",https://www.metajob.at/dres/jc?p=00dm4ty6hhurgb
Mitarbeiter Online-Banking (m/w/d),Technischer Support unserer Privat- und Firmenkunden in unserer Kundenhotline sowie per E-Mail - Unterstützung unserer Kunden im richtigen Handling unserer Banking-Anwendungen (gegebenenfalls beim Kunden vor Ort) - Selbstständige Lösungsfindung u.a,https://www.metajob.at/dres/jc?p=000a57f5489i3s
Fachliche Leitung Audit Bank (m/w/d),"Inhaltliche Leitung des Audits der Wüstenrot Bank AG - gemäß den Vorgaben aus gesetzlichen und regulatorischen Regelungen - internen Vorgaben (Audit-Charta, Audit-Handbuch) - und revisionsspezifischen Geschäftsprozessen - Selbstständiges Planen und Durchführen von Prüfungen in Abstimmung mit der Konzernrevision",https://www.metajob.at/dres/jc?p=00786my9dfga23
