title,description,cleaned_text
Corporate IT - IT Security Advisor (all genders),Gruppenweite Koordination und Durchführung von lokalen IT-Sicherheitsprüfungen in CEE in Bezug auf die IT-Sicherheitsvorgaben der Gruppe - Erstellung von aussagekräftigen Prüfberichten und Einführung von Kennzahlen zum Compliance Status,gruppenweite koordination und durchf hrung von lokalen sicherheitspr fungen cee bezug auf die sicherheitsvorgaben der gruppe erstellung von aussagekr ftigen pr fberichten und einf hrung von kennzahlen zum compliance status
Softwareentwickler JAVA (m/w/d),"Entwicklung und Betreuung einer Softwarelösung für die Digitalisierung von Prozessen im internationalen Warenhandel - Besprechung der Anforderungen und Zielsetzungen mit dem Produktmanagement und dem Team … Ausbildung im Bereich Informatik, Wirtschaftsinformatik oder Software-Engineering",entwicklung und betreuung einer softwarel sung f r die digitalisierung von prozessen im internationalen warenhandel besprechung der anforderungen und zielsetzungen mit dem produktmanagement und dem team ausbildung im bereich informatik wirtschaftsinformatik oder software engineering
Developer Java (m/w/d) Розробник Java,"What technologies we work with: Microservice architecture, Java, Data Stores (Postgres, Elasticsearch, Redis) - Message Queuing System (Kafka, ActiveMQ), Docker, Kubernetes - Angular, Typescript, Spring (Boot, Data, Cloud, Security), ELK, Zipkin",technology work microservice architecture java data store postgres elasticsearch redis message queuing system kafka activemq docker kubernetes angular typescript spring boot data cloud security elk zipkin
Information Security Expert (m/w) mit Fokus ISMS und IT-Prozesse,Als Mitglied vom Stabsbereich CIO Office sind Sie erster Ansprechpartner für alle regulativen Informationssicherheits-Themen innerhalb des Unternehmens. Dabei erwarten Sie folgende Aufgaben und Projekte: Betrieb vom bestehenden Information Security Management Systems(ISMS),al mitglied vom stabsbereich cio office sind sie erster ansprechpartner f r alle regulativen informationssicherheits themen innerhalb de unternehmens dabei erwarten sie folgende aufgaben und projekte betrieb vom bestehenden information security management system ism
IT - OT Systemadministrator (m/w/d),"Wir wenden uns bei der Ausschreibung sowohl an Berufseinsteiger, wie auch an erfahrene Kanditat:innen. REF.-NR.: 5228-AF-JN - DIENSTORT: München - Beschaffung, Installation und Fehlerbehebungen der Arbeitsplätze (Hard- und Software) … Dokumentation der IT/OT-Infrastruktur",wir wenden un bei der ausschreibung sowohl berufseinsteiger wie auch erfahrene kanditat innen ref nr af jn dienstort nchen beschaffung installation und fehlerbehebungen der arbeitspl tze hard und software dokumentation der ot infrastruktur
IT Administrator (m/w/d) - IT Systems Engineer,"Teilprojektleitung verschiedener IT Initiativen wie u.a. der Einführung eines neuen Ticketsystems * Administration und Betreuung der Windows Systemlandschaft und der knapp 200 virtuellen Server mit VMware im IT-Team * Betreuung der Windows Server (2016 und 2019), Active Directory und Clientmanagement … ",teilprojektleitung verschiedener initiativen wie u der einf hrung eines neuen ticketsystems administration und betreuung der window systemlandschaft und der knapp virtuellen server mit vmware im team betreuung der window server und active directory und clientmanagement
Praktikum im Bereich IT- und Informationssicherheitsmanagement," … the art“-Managementsystemen (ISO9001-QMS und ISO27001- ISMS: Prozessdesign und -optimierung, Dokumentation, Maßnahmenverfolgung, kontinuierlicher … Operative Unterstützung im Bereich IT- und Informationssicherheitsmanagement (Analyse von Schutzbedarfserhebungen, Sicherheitsanforderungen, Bewertung der … ",art managementsystemen iso qms und iso ism prozessdesign und optimierung dokumentation nahmenverfolgung kontinuierlicher operative unterst tzung im bereich und informationssicherheitsmanagement analyse von schutzbedarfserhebungen sicherheitsanforderungen bewertung der
Data Scientist – Data Engineer (m/w/d),"Sie verantworten basierend auf unterschiedlichen Aufgabestellungen entlang der Supply Chain die Identifikation relevanter Daten aus verschiedenen Datenquellen … Abgeschlossenes Studium der Informatik, Data Science, Mathematik, Statistik, Physik oder eine vergleichbare Qualifikation",sie verantworten basierend auf unterschiedlichen aufgabestellungen entlang der supply chain die identifikation relevanter daten au verschiedenen datenquellen abgeschlossenes studium der informatik data science mathematik statistik physik oder eine vergleichbare qualifikation
Softwareentwickler C#/.NET (m/w/d) [64280],Entwicklung von innovativen Softwarelösungen (Windows- / Web-Plattform) sowie Weiterentwicklung und Optimierung bestehender Softwarelösungen … Abgeschlossene höhere technische Ausbildung mit mehrjähriger Berufserfahrung oder abgeschlossenes technisches Studium in der Fachrichtung Informatik,entwicklung von innovativen softwarel sungen window web plattform sowie weiterentwicklung und optimierung bestehender softwarel sungen abgeschlossene h technische ausbildung mit mehrj hriger berufserfahrung oder abgeschlossenes technisches studium der fachrichtung informatik
Java Software Developer,"Konzeption, Entwicklung und Betreuung unserer neuen zentralen Versicherungs Serveranwendung - Softwareentwicklung nach agilen Methoden - Mitarbeit in einem dynamischen Team - Zusammenarbeit mit Entwicklungsteam, Product Owner und Fachabteilungen, um maßgeschneiderte Lösungen zu entwickeln",konzeption entwicklung und betreuung unserer neuen zentralen versicherungs serveranwendung softwareentwicklung nach agilen methoden mitarbeit einem dynamischen team zusammenarbeit mit entwicklungsteam product owner und fachabteilungen um geschneiderte l sungen zu entwickeln
Java Fullstack Developer (m/w/d) (17728),Hauptaufgabenbereich ist die Weiter- und Neuentwicklung von Java- Webanwendungen und -services - Wartung und Verbesserung bestehender Applikationen - Mitarbeit im gesamten Software-Entiwicklungsprozess inkl. Qualitätssicherung,hauptaufgabenbereich ist die weiter und neuentwicklung von java webanwendungen und service wartung und verbesserung bestehender applikationen mitarbeit im gesamten software entiwicklungsprozess inkl qualit tssicherung
